code,name,mic,timezone,hour,close_date,country,source
AS,NYSE EURONEXT - EURONEXT AMSTERDAM,XAMS,Europe/Amsterdam,09:00-17:40,,,https://www.tradinghours.com/exchanges/euronext
AT,ATHENS EXCHANGE S.A. CASH MARKET,ASEX,Europe/Athens,10:15-17:20,,,https://www.tradinghours.com/exchanges/ase-athens
AX,ASX - ALL MARKETS,XASX,Australia/Sydney,10:00-16:00,,AU,https://www.tradinghours.com/exchanges/asx
BA,BOLSA DE COMERCIO DE BUENOS AIRES,XBUE,America/Argentina/Buenos_Aires,10:30-17:15,,,https://www.tradinghours.com/exchanges/bcba
BC,BOLSA DE VALORES DE COLOMBIA,XBOG,America/Cuiaba,09:15-16:00,,,https://www.tradinghours.com/exchanges/bvc
BD,BUDAPEST STOCK EXCHANGE,XBUD,Europe/Budapest,08:15-17:20,,,https://www.tradinghours.com/exchanges/bse-budapest
BE,BOERSE BERLIN,XBER,Europe/Berlin,08:00-20:00,,,https://www.tradinghours.com/exchanges/xber
BK,STOCK EXCHANGE OF THAILAND,XBKK,Asia/Bangkok,09:30-17:00,,,https://www.tradinghours.com/exchanges/set
BO,BSE LTD,XBOM,Asia/Kolkata,09:00-16:00,,IN,https://www.tradinghours.com/exchanges/bse-bombay
BR,NYSE EURONEXT - EURONEXT BRUSSELS,XBRU,Europe/Brussels,09:00-17:30,,,https://www.tradinghours.com/exchanges/euronext-brussels
CN,CANADIAN NATIONAL STOCK EXCHANGE,XCNQ,America/New_York,08:00-17:00,,,https://www.tradinghours.com/exchanges/cnsx
CO,OMX NORDIC EXCHANGE COPENHAGEN A/S,XCSE,Europe/Copenhagen,09:00-17:00,,,https://www.tradinghours.com/exchanges/omxc-copenhagen
CR,CARACAS STOCK EXCHANGE,BVCA,America/Caracas,08:30-13:30,,,https://www.tradinghours.com/exchanges/bvcc
DB,DUBAI FINANCIAL MARKET,XDFM,Asia/Dubai,09:30-14:00,,,https://www.tradinghours.com/exchanges/dfm
DE,XETRA,XETR,Europe/Berlin,09:00-17:30,,DE,https://www.tradinghours.com/exchanges/xetr
DU,BOERSE DUESSELDORF,XDUS,Europe/Berlin,08:00:20:00,,,https://www.tradinghours.com/exchanges/xdus
F,DEUTSCHE BOERSE AG,XFRA,Europe/Berlin,08:00-20:00,,DE,https://www.tradinghours.com/exchanges/fsx
HE,NASDAQ OMX HELSINKI LTD,XHEL,Europe/Helsinki,10:00-18:30,,,https://www.tradinghours.com/exchanges/omxh-helsinki
